"n"	"date"	"dream"
"0128"	"(2016-11-24)"	"It's dark. I've left a college cafe and head home, but soon get lost in the woods, where it begins to rain. I find my way to a field that resembles a rice paddy. I keep falling down in the water. I'm not angry or afraid. There's a comical quality to my antics, even as close passing cars, racing by, do not see me. I find a country road and walk to a candy store tucked below a hillside. Two husky middle-aged men emerge from a doorway. One appears to be the owner, the other man, a customer. By their manner and appearance each resembles my father, or the type of men he knew. I ask the customer for directions. He's pocketing a gold colored scratch off ticket. ""How do I get to city C?"" I ask. As he gives me directions, the owner and two other men gather round. The customer, who is mentally slow and friendly, asks me if I worked for the VA. He asks many questions. I say yes, and tell him I worked for the state. Humorously I ask if he worked for the PTA. I ask if he fought in WWII, though it's clear he's not old enough. They're a good bunch, but I half wonder if they'll turn and kill me."
"0129"	"(2016-11-24)"	"I've met two black men; they've set up an office in a dilapidated building, where we spend time together. The older man mentors the younger, a tall handsome and light-skinned research scientist, who expands his office to a second area but Spartan, disheveled room. When the scientist shows me where he will place the shelves and desk, I say that I'm happy for him. Offhandedly, in a sinister voice, he says it's time for another amphetamine fuelled weekend. The older man asks if I'll stay. At that moment, everything changes. I say no. That's it. I'm leaving."
"0130"	"(2016-11-26)"	"I'm with a platoon on patrol in jungle that resembles the jungle of Song Be, a province in Vietnam our unit patrolled, and the North Mountain Nature Preserve in the USA. A K9 team and a woman accompany us. We move at a fast clip. At some points the jungle thins, then thickens. Overhead, a jet flies constant air support. We're not scared, but there are dinks in the area. The woman believes there were North Vietnamese soldiers a few meters back; she retraces the trail, but not far enough. Suddenly I'm aware that I don't have my M16. I'm terrified, but the grunts don't seem to care. We find two foreign soldiers hiding in the bush and take them prisoner. I run back to find my M16. The scene changes. I'm in the rear. An officer yells at me to pay for the lost rifle. I refuse, yelling, ""I want to go back, but I'm not paying for my fucking weapon."" The officer throws me in jail; he sends two soldiers to beat me up. When they enter the cell, I fly into a rage, beating them with a small wood bench, with my fists and feet. One man dazed but standing, tries to leave. ""Where do you think you're going?"" I yell, and grab him by his shirt. I will beat him to a pulp. I will beat him to death. I begin beating him down."
"0131"	"(2016-11-27)"	"I'm alone in a penthouse apartment teaching myself to play the trumpet. I accompany myself by recording a track, then replay and record over it. No one can hear me; if they can, I don't care. The music is similar to early Miles Davis. I want to expand it, vary the tune, but can't seem to find the way."
"0132"	"(2016-11-27)"	"I'm in a bedroom watching a mother trying to coax her young daughter to speak. The woman lays atop the girl, who sits in a child's wagon. The mother is patient, loving; the girl is reluctant to talk. When the mother leaves the room I say to the child, ""If you speak, I'll listen."" The girl, curled in a corner to avoid me, is silent. Suddenly, she begins talking, as if telling a story."
"0133"	"(2016-11-28)"	"In a nearly empty bar out West, I lie on a table, trying to sleep. The only customers are a man and a woman, who lie next to me; they cuddle and chat. The man, brisk and macho, appears to know me. From time to time he seems to speak my name. It's as if he's taunting me. At any moment we will fight."
"0134"	"(2016-11-28)"	"I've just watched a strip show and lie in bed, talking to a man the next bed over. We're both armed. The man, a member of Al Qaeda, is young and handsome, with erotic blue eyes. At first the conversation is pleasant. Then we argue about the stripper. I tell him, ""I'm sorry, Bob. No. That's complete bullshit."" He becomes angry, confused. Clearly, at any moment he may kill me. I consider how I will shoot him first. It's in his eyes. They hold hatred."
"0135"	"(2016-11-29)"	"With other people, I'm on the roof of a building watching an anti-war rally unfold. The street marchers hold placards. One protester holds a painting. Everyone chants anti-war slogans. I'm happy. I'm clapping my hands to the beat of the chants. I'm encouraging everyone to do the same."
"0136"	"(2016-11-29)"	"Miss Gerber, my high school English teacher, sits at her desk in front of the adult education class. My glasses make her appear close. She has just asked me what I meant. We stare at each other. She's pretty. Are we flirting? For a moment, we seem to romantically connect. I look away, and answer her question with a half-truth. ""Good,"" she replies, ""because tomorrow you'll ask the exam question."""
"0137"	"(2016-11-30)"	"My brother, mother and I are overnight house guests, sleeping on the black carpeted floor. My mother and I inspect white porcelain fish filigreed with gold leaf and shaped like slippers. I want to show my mother the owner's name, which is stenciled in gold inside the slipper. I tell her, ""It's here somewhere,"" but can't find it. Only the word ""Florida"" is visible. As we prepare to sleep, my mother says, ""And tomorrow we're getting up at 2 a.m."" I say, ""Like hell we are. You don't tell me what to do. What the fuck is that all about?"" When she doesn't reply, I say, ""Go ahead, be silent."" There are no sheets or blankets. I arrange my pants to sleep on them. A young man and I start to get up at the same time. We both have to pee. I motion him to go first. He does the same. I get up to pee."
"0138"	"(2016-12-02)"	"I'm walking down a snowy path beside a highway. The snow is high, hard packed, icy, which makes the trek difficult. In addition, I'm wearing my blue backpack, which weighs me down. Out of frustration, I fling off my jacket and pack. Two hundred yards later, I decide to return and fetch them. In the distance, I see a man and his dog walk past my gear. A woman seems to stop and look. I have to get to my things before they are stolen. On the way back I realize I'm wearing my jacket. I hitch a ride in a car resembling a WWII German staff car, sitting in back with a young boy. A father and his other son sit in front. The car has no roof, but wire frames prevent me from jumping out when we approach my things."
